review_id,order_id,review_score,review_comment_message,sentiment
ab3056e4fb5a36df4b58c1746e4a6b8f,aad1dcbe4c9fe2e3486e5e04c6649097,2,Had issues from day one. Not worth the money.,negative
7d9ac3e98adc0c8ad579e6a2257d79f9,dfa48852c93427261c98fb2e01f33bea,5,"Amazing product, exceeded my expectations.",positive
c422274e50e900b46fee429016c5458d,950bb159eea525ff8947b92c93b02f8e,3,Reasonable product for the price point.,neutral
1f83ac8151dd375e41ab519523ade3b1,e08878ad70acad81d0e90f59e56ce9a6,3,Decent quality but packaging could be better.,neutral
5230dc021b8ce3fe53ed728af873a6d1,fc850201b579f014488f1cca40aaa06d,5,Delivered on time and works perfectly. Very satisfied.,positive
cde97e23deec3aa11e838402378706ee,512ba2efae3409f37660ce26199b32aa,1,Product was damaged on arrival. Requesting a refund.,negative
af9e54a155c1248534f1fa60179c6393,afb1e1ccaac288ec1ab9754e2e36cdaf,5,Great value for money. Couldn't be happier.,positive
31a346e6f2cf783b145080e2f4dc6e32,35ff30856e32d0b5a4a2abe36bc26f4e,4,Really good product overall. Minor packaging issue but nothing major.,positive
2dd29dcf6f552bb7b7f3354586a31f57,e419e5015f43887f330150fd21ff60f6,5,"Wow, this is even better than I expected!",positive
782be3066f784bbc0a5f4f5256172488,655e65fc77c14d8f715cf7f9684182b2,1,Do not buy this. Extremely poor quality.,negative
18abfe82de3995ac67d737ecc8189a31,3cde8944e2cad2f0494cf3f146b4081b,4,Really good product overall. Minor packaging issue but nothing major.,positive
dad605a71e59cdef6fcecfc9bf514ca1,e38f9946fb20db4a597eed7547c59afc,3,"Not bad, not great. It works but feels a bit cheap.",neutral
c68c027ea1d9979f147099c68efd93e6,e87c331d21a3fb3085079a9b32f4a56c,5,"Amazing product, exceeded my expectations.",positive
d1022bc36ae98c11c7479dedc36f837f,5982fca4536769e5024e12eb8b6f473c,5,Top quality product. Will definitely be ordering more.,positive
de7648e683482829b3ac3ba3a4ae64a0,21dd600edd64e225d04af3670d1803b3,5,Best purchase I've made in a while. Highly recommend!,positive
6295f44b9f5347d9d6b619e388341ffb,5b0cb832563a9fc75605f9edea8fba22,5,"Five stars, no complaints at all. Would buy again.",positive
51f6ca3d2e468e053a903139137e91f1,7b2e06fd0a893c5d11fbebd65c872ed1,4,Pretty good! Slight colour difference from the photo but still nice.,positive
b9867004151eef78e82f18728f2a3cee,c5b977015b27b1b086bebf07bd454df6,1,Never arrived. Very frustrating experience.,negative
645f7e14a27e34936f1ed435e2eb8059,c1b87c671fed6c43d7d20e5142646cee,5,Fantastic! My go-to from now on.,positive
df59cdf8b28735af3688b44026cbef04,580e21d2e46243eca1eb813c5fe6ac7a,4,Happy with this purchase. Good quality for the price.,positive
d51ed05f67b66d49ec9c0d2781068366,c679e1baef76a7cf123dc697fe11c7ad,3,Average product. Expected a bit more for the price.,neutral
affce0d83d9e8f6af570bc097c2e424f,286a461fcd1b94e24227817fa93f8a57,2,Not great. Feels flimsy and poorly made.,negative
f5207df17959b63c0f20768e18ad8ec3,61e268eee1d131498001b6121895c5ee,5,"Amazing product, exceeded my expectations.",positive
37cf238c78a9b1d3a26bf09a95cd4738,c16b33b318036905a37290c0c735c522,5,Delivered on time and works perfectly. Very satisfied.,positive
a079ddcc6b7ba4cd0be4d5d513f2d7ad,e1f91cf220920b4e904a151bf35c10a4,3,It's alright. Might look for alternatives next time.,neutral
c933a1949316acd1f01364854011c89b,1aa3c5dc3d9668e8fa8a0af87a8dbe55,5,Best purchase I've made in a while. Highly recommend!,positive
601c812cdc1469e4de18f7554ff482c4,5bab7c41f1405d62a214dc3648c37e1c,5,"Wow, this is even better than I expected!",positive
792c280ad20ea5022c042cf683c9d78f,f81d082e88c93adee5b45ea41c711d67,4,"Solid product, meets expectations. Would recommend.",positive
77da4d335ae028868d8aea2c8cd0283f,b01daae956b23211a3dd59e8c287ca32,5,Delivered on time and works perfectly. Very satisfied.,positive
0ab7ecbd201f6f66732df6dd71099462,e52c9dfec957c503bed5d050a39c740f,3,Average product. Expected a bit more for the price.,neutral
720c04e4c1e4ff21d791f37ea740ff0c,058a84184b0421a60f75fdbda47862c1,4,"Very good, just took a bit longer to arrive than expected.",positive
211f6bfc121126e4979b2a51a73ec60f,5727f102c85ddd314cc3158d4e044e94,5,Great value for money. Couldn't be happier.,positive
59cf947fa339068bf469e15b8e739059,7ed12a1423ed9b6c596c5e0e2f92dadc,5,"Wow, this is even better than I expected!",positive
2c347c96f8719cf7170789d58cc160cb,32b75a504adac9e56f590b0561a5fcc6,4,Does the job well. Happy with my purchase.,positive
d5dbb256ec227318c53fc54dcb32ca9e,53f8893a652ff59a88793de9e5817ab4,2,Disappointed. Quality is not what I expected.,negative
39e862c7c4a62510574b9bed1a3de164,8add64b3a0b9b64eba32b4274ca5fb8a,5,"Five stars, no complaints at all. Would buy again.",positive
95c0ad6a6635e8ef62fb96689b91e671,c9e7e5db848d9887106af64ce027ff75,5,"Five stars, no complaints at all. Would buy again.",positive
b2a694b42ac51fe76833c5d0cc0a6285,5bfad1932352fcd447ddb67c215b5552,5,"Amazing product, exceeded my expectations.",positive
5dd67a60f5b385f2cd698f6288dccc9d,5410087995e1ebb53c26ce8e52ff29e0,5,Delivered on time and works perfectly. Very satisfied.,positive
3c8e23c20c544941129ced237b9c2061,9c3d371454ceddff5d8fa8aa86ac7c1e,1,Awful product. Returning immediately.,negative
8dc751873858bd0105db1f78a8e150b9,8ec9ebffb3172ce7edaf4c7511d41917,5,"Wow, this is even better than I expected!",positive
63700530c6d71d43d7be8e5d2d67fefe,cafaa2f3a1466caa4be0de187d9a228a,5,Super impressed with the quality for the price.,positive
2dd1159bb2de9b46ec7bfa29b215f3a3,c1b3a881aed70415ec2c1cd40d217d5d,5,Great value for money. Couldn't be happier.,positive
a20c24976e5130fdc8ac993ecd6b649b,2d7112fbe786c9c56050866c853e3a7f,2,Wouldn't recommend. Doesn't match the description.,negative
bc264f5f30955e84943026fd0790b0e7,ed8473472f2378535c5b44ca20306ad7,5,Fantastic! My go-to from now on.,positive
9791f0dfe234f14aac2889e246f3b3e7,f3f0bc4d599d1d5251f1b37cec7b407e,4,"Works well, does exactly what it says. Solid buy.",positive
a59277055ee75dc9a536fd48e9c2946e,f0fbc60d51bb40c156688d9ce008237f,2,Wouldn't recommend. Doesn't match the description.,negative
420722c250852dd06703ebaf64506573,5bee1275a1f504f2f52c69e8a0533a2d,3,Took ages to arrive. Product itself is fine though.,neutral
197bfe2ab89f7ac13254da906c96b241,949090648eb1ba086b3bb1abb642966c,4,"Good quality, comfortable and well made.",positive
8405ac15950641d7378ab0f2bac5e592,d5d0829757e3f168a603b3c272d96fff,5,"Amazing product, exceeded my expectations.",positive
f131d351ca82b5d6c47f6ad7627ce4ab,476b812a7e4fc972646eb390517bddcb,5,Perfect! Works great and looks even better.,positive
0cfd1e1f5df30aa51419c8f420f2ea2b,f06f8d3837dbab6729adfd09ba404938,1,Worst purchase I've ever made. Very disappointed.,negative
1c3c15621059db47f00257bed50832be,a9de870f0ab5215e33e82eb181f7bc44,1,Complete waste of money. Nothing like the description.,negative
d097dcba9c2696887d5f42cf0b1c4b44,f1bdbadeb03d8a0e4c6c2f3ffaf32b35,5,Fantastic! My go-to from now on.,positive
